waterbody,max cells/mL,min cells/mL,no. years,no. obs,exposure,centroid_lat,centroid_lon
Terry Lake,1721868.6,7447.3193,3,61,chronic,40.62747,-105.07918
Thurston Reservoir,2269864.8,14060.476,4,110,chronic,38.22422,-102.63543
Troutvale Reservoir Number 1,2466039.2,80167.805,3,17,chronic,37.82884,-107.1836
Troutvale Reservoir Number 2,3162277.5,48752.848,3,66,chronic,37.82138,-107.19426
Unnamed Waterbody No. 4,1819700.9,20137.242,3,47,chronic,,
Vega Reservoir,3076096.8,9549.926,3,324,chronic,39.22331905,-107.795417
Walden Reservoir,4055085.5,13304.544,3,49,chronic,40.73504,-106.31513
Warren Lake,2208004.8,47424.2,3,44,chronic,40.53307,-105.06109
Water Supply and Storage Reservoir Number 3,1629296.0,18030.178,4,21,chronic,40.66537,-105.09024
Williams Creek Reservoir,1380384.2,7244.3594,3,82,chronic,37.51255352,-107.220867
Willow Creek Reservoir,1306170.9,7244.3594,3,31,chronic,40.14717,-105.95021
Windsor Lake,1047128.56,73790.42,3,11,chronic,40.48468,-104.90103
Woods Lake - near Ft. Collins,2679168.2,77983.01,4,34,chronic,40.52012,-104.8049
